Timestamp,Leeftijd,Geslacht,Klimervaring,Vereniging,Klimzaal,Dagen_klimmen,Dagen_alternatief_specifiek,Dagen_alternatief_algemeen,Indoor_toprope,Indoor_lead,Indoor_boulder,Indoor_speed,Outdoor_boulder,Outdoor_singlepitch,Outdoor_multipitch,Outdoor_trad,Outdoor_alpinisme,Dal,Verticaal,Overhangend_licht,Overhangend_sterk,Dak,Indoor_RP_toprope,Indoor_RP_lead,Outdoor_RP_lead,Indoor_RP_boulder,Outdoor_RP_boulder,Indoor_OS_toprope,Indoor_OS_lead,Outdoor_OS_lead,Indoor_OS_boulder,Outdoor_OS_boulder,Absolute_kracht,Evenwicht,Uithouding,Routes_lezen,Voetenwerk,Zekeren,Klimtactiek,Angstbeheersing,Flexibiliteit,Focus,Vormspanning,Spotten,Vingerkracht,Touwtechnieken,Side_pull,Pinch,Open_handgreep,Full_crimp,Gaston,Heel_hook,Jam,Voeten_op_wrijving,Pied_main,Lock_off,Knee_bar,Mono,Toe_hook,Dyno,Lay_back,Campus,Voetwissel,Drop_knee
12/14/2020 23:38:18,26,Man,1,Ja,Bleau Gent,2.5,0,0,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,8,10,10,8,8,6b,5c,Niet van toepassing,Zwart,5A,6a,5a,Niet van toepassing,Blauw,<5A,7,8,4,5,5,7,5,7,7,6,6,7,9,6,8,6,7,10,6,9,7,7,5,6,8,4,5,8,6,3,4,5
12/14/2020 23:44:58,53,Man,13,Ja,Blueberry Hill,2.5,0,0,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,7,10,9,8,7,7a,6c,6c,Rood,Niet van toepassing,6c+,6b+,6b,Blauw,Niet van toepassing,6,7,8,9,8,8,7,8,8,7,10,8,7,8,8,6,8,7,6,9,8,7,7,8,7,9,6,6,7,6,8,9
12/14/2020 23:50:25,31,Man,4,Ja,Black box,2,1,0,Ja,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Nee,8,9,8,9,7,6c+,6a+,6a,Zwart,7A,7a,6b+,6b,Zwart,7A,6,6,7,7,6,7,6,7,8,7,7,7,8,7,8,7,8,7,8,9,8,6,8,9,9,8,6,9,8,9,8,8
12/15/2020 0:31:13,43,Vrouw,15,Ja,climb up lesquin,3.5,0.5,2,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,3,7,10,8,2,7b,7a+,7a,Rood,5C,7a,6c+,6c,Blauw,5A,5,7,7,6,8,7,6,4,6,7,6,6,7,7,6,4,7,7,8,7,5,5,6,5,3,2,7,4,7,2,7,7
12/15/2020 2:46:39,33,Man,11,Ja,Black box boulder,1,1,0,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Ja,8,8,7,6,7,6b+,5c,5c,Rood,5A,6b+,5b,<5a,Rood,5B,6,6,7,7,7,7,6,6,6,7,7,7,6,3,8,6,7,5,6,7,5,7,6,6,3,6,6,8,6,7,7,4
12/15/2020 6:51:47,50,Man,29,Ja,Bio ,2,0,0,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,10,10,10,10,10,6b+,6b,6b,Blauw,6B,6c,6b,6a+,Blauw,6A,8,8,9,10,9,8,8,9,9,9,7,8,8,6,7,8,9,8,7,4,5,8,7,7,6,8,3,6,6,4,8,8
12/15/2020 6:52:05,36,Man,15,Nee,Boulder,2,0,0,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,5,6,9,9,9,7a,7a,7b+,Wit,7C+,Niet van toepassing,Niet van toepassing,Niet van toepassing,Zwart,Niet van toepassing,9,6,6,9,5,8,5,6,4,8,10,10,6,9,8,9,10,1,6,10,2,3,1,10,9,0,9,7,5,10,6,3
12/15/2020 7:35:32,27,Man,12,Ja,Bbh,1.5,0,0,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Nee,5,9,10,10,7,7b,6c,6c,Zwart,Niet van toepassing,7a,6b+,6c,Niet van toepassing,Niet van toepassing,7,4,6,5,5,10,7,7,7,8,8,7,6,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
12/15/2020 7:44:39,29,Man,8,Ja,Blueberry-hill,2,0,0,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Nee,8,8,7,6,4,7a,7a,6c,Rood,6A+,7a,7a,6b+,Rood,5C,6,8,8,8,8,9,8,5,6,8,8,8,7,10,7,9,8,9,7,8,4,7,8,7,9,7,8,7,7,6,9,8
12/15/2020 7:48:46,33,Vrouw,1,Nee,Blackbox Boulder Kortrijk,2.5,1,3,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,6,7,4,2,7,6a,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,Niet van toepassing,Niet van toepassing,Niet van toepassing,Blauw,Niet van toepassing,6,8,7,3,5,5,7,7,6,7,5,5,7,4,7,7,8,3,5,3,7,7,5,5,5,5,4,6,5,5,7,5
12/15/2020 7:53:15,34,Man,3,Ja,City Lizard,1.5,0.5,0.5,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,8,8,8,7,6,6c,6a,6a,Zwart,6C,6a,5b,6a,Blauw,5C,4,6,2,3,6,7,6,8,2,7,5,8,7,3,6,6,7,6,4,6,2,3,5,7,5,0,4,6,5,3,7,8
